Preferred Label,Definitions,Parents
Chondrocyte,Any chondrocyte that is part of the tracheobronchial tree.,tracheobronchial chondrocyte(CL_0019002)
T cell,A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,T cell(CL_0000084)
Stromal cell,A connective tissue cell of an organ found in the loose connective tissue. These are most often associated with the uterine mucosa and the ovary as well as the hematopoietic system and elsewhere.,stromal cell(CL_0000499)
Mast cell,"A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development.|Mast cells are generally integrin beta-7-negative and positive for TLR2, TLR3, TLR4, TLR5, TLR7, TLR9, C3aR, C5aR, CR3, CR4, VEGF, FGF2, and renin. They can express MHC Class I and II on their surface. Activated murine mast cells (IgE+Antigen) were capable of expressing the following co-stimulatory molecules: CD95 (Fas), CD120b, CD137 (4-1BB), CD153 (CD30L), CD154 (CD40L), GITR, ICOSL, OX40L, PD-L1, and PD-L2. Note that there was some mouse strain variation. Mast cells have also been demonstrated to produce bFGF, CCL2, CCL4, CCL5, CCL11, CCL20, CXCL2, CXCL8, CXCL10, GM-CSF, IFN-gamma, IL-1, IL-2, IL-3, IL-8, IL-10, IL-11, IL-12, IL-13, IL-16, IL-25, IL-18, MIP-1, prostaglandin D2, SCF, TGF-beta, TNF-alpha, TSLP, VEGF, and XCL1. They express the transcription factors Transcription factors AP-1, GATA1, MITF, Notch2, PIAS3, PU.1, and STAT5.",mast cell(CL_0000097)
Mesothelium,A mesothelial cell that is part of the visceral pleura.,mesothelial cell of visceral pleura(CL_1000493)
NK cell,A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells.,natural killer cell(CL_0000623)
Neutrophilic granulocyte,A leukocyte with abundant granules in the cytoplasm.,granulocyte(CL_0000094)
Neuron,A cell that is part of the nervous system.,neuron(CL_0000540)
Vascular endothelial cell,"An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.|From FMA: 9.07.2001: Endothelial cell has always been classified as a kind of epithelial cell, specifically a squamous cell but that is not true. First, endothelial cell can either be squamous or cuboidal (e.g. high-endothelial cell) and secondly, it has different embryological derivation (mesodermal) than a true epithelial cell (ectodermal and endodermal). The basis for present classification is the fact that it comprises the outermost layer or lining of anatomical structures (location-based) but a better structural basis for the differentia is the cytoskeleton of the cell. Endothelial cell has vimentin filaments while an epithelial cell has keratin filaments. [Onard].",endothelial cell(CL_0000115)
Type II alveolar cell,"A type II pneumocyte is a pneumocyte that modulates the fluid surrounding the alveolar epithelium by secreting and recycling surfactants. This cell type also contributes to tissue repair and can differentiate after injury into a type I pneumocyte. Thicker than squamous alveolar cells, have a rounded apical surface that projects above the level of surrounding epithelium. The free surface is covered by short microvilli.",type II pneumocyte(CL_0002063)
Type I alveolar cell,"A type I pneumocyte is a flattened, branched pneumocyte that covers more than 98% of the alveolar surface. This large cell has thin (50-100 nm) cytoplasmic extensions to form the air-blood barrier essential for normal gas exchange.",type I pneumocyte(CL_0002062)
Type I alveolar cell/Type II alveolar cell,An epithelial cell that lines the peripheral gas exchange region of the lungs of air-breathing vertebrates.,pneumocyte(CL_0000322)
Proximal progenitor cell,"An adult angioblastic cell released from the bone marrow, capable of blood circulation and participation in angiogenesis by differentiating into blood vessel endothelial cells. Their existence is controversial.",adult endothelial progenitor cell(CL_0002619)
Pericyte,"An elongated, contractile cell found wrapped about precapillary arterioles outside the basement membrane. Pericytes are present in capillaries where proper adventitia and muscle layer are missing (thus distingushing this cell type from adventitial cells). They are relatively undifferentiated and may become fibroblasts, macrophages, or smooth muscle cells.|Pericytes are CD10-positive, CD13-positive, CD31-negative, CD45-negative, CD106-positive, CD117-negative, CD140-positive, CD144-negative, CD146-positive, CD271-positive, CD325-positive, NG2-positive, RGS5-positive, SMA-positive, and desmin-positive. A subpopulation is CD248-positive. They are also capable of producing angiopoietin 1, CXCL12, TGF-beta, and VEGF-A.",pericyte cell(CL_0000669)
Myoepithelial cell,"Contractile cells resembling smooth muscle cells that are present in glands, notably the mammary gland, and aid in secretion. This cell has long weaving dendritic processes containing myofilament.",myoepithelial cell(CL_0000185)
Lymphatic endothelial cell,"An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.|From FMA: 9.07.2001: Endothelial cell has always been classified as a kind of epithelial cell, specifically a squamous cell but that is not true. First, endothelial cell can either be squamous or cuboidal (e.g. high-endothelial cell) and secondly, it has different embryological derivation (mesodermal) than a true epithelial cell (ectodermal and endodermal). The basis for present classification is the fact that it comprises the outermost layer or lining of anatomical structures (location-based) but a better structural basis for the differentia is the cytoskeleton of the cell. Endothelial cell has vimentin filaments while an epithelial cell has keratin filaments. [Onard].",endothelial cell(CL_0000115)
Epithelial cell,"An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.|From FMA: 9.07.2001: Endothelial cell has always been classified as a kind of epithelial cell, specifically a squamous cell but that is not true. First, endothelial cell can either be squamous or cuboidal (e.g. high-endothelial cell) and secondly, it has different embryological derivation (mesodermal) than a true epithelial cell (ectodermal and endodermal). The basis for present classification is the fact that it comprises the outermost layer or lining of anatomical structures (location-based) but a better structural basis for the differentia is the cytoskeleton of the cell. Endothelial cell has vimentin filaments while an epithelial cell has keratin filaments. [Onard].",endothelial cell(CL_0000115)
Distal progenitor cell,"An adult angioblastic cell released from the bone marrow, capable of blood circulation and participation in angiogenesis by differentiating into blood vessel endothelial cells. Their existence is controversial.",adult endothelial progenitor cell(CL_0002619)
Club cell,Epithelial progenitor cell of the lung. Club cells are dome-shaped with short microvilli but no cilia. They function to protect the bronchiolar epithelium. Club cells also multiply and differentiate into ciliated cells to regenerate the bronchiolar epithelium.,club cell(CL_0000158)
Plasma cell,"A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin.|Plasma cells develop in the spleen and migrate to the bone marrow. Plasma cells are also reportedly CD5-negative, CD10-negative, CD19-positive, CD20-negative, CD21-negative, CD22-negative, CD23-negative, CD24-negative, CD25-negative, CD27-positive, CD34-negative, CD38-positive, CD40-positive, CD43-positive, CD45-positive, CD48-positive, CD53-low, CD80-negative, CD81-positive, CD86-positive, CD95-positive, CD196-negative, CD229-positive, CD270-positive, CD352-positive, CD361-positive, and IgD-negative. Transcription factors: BLIMP1-positive, IRF4-positive, PAX5-negative, SpiB-negative, Ets1-negative, and XBP1-positive.",plasma cell(CL_0000786)
Myeloid cell,"A cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage.",myeloid cell(CL_0000763)
Monocyte,"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.|Morphology: Mononuclear cell, diameter, 14 to 20 _M, N/C ratio 2:1-1:1. Nucleus may appear in variety of shapes: round, kidney, lobulated, or convoluted. Fine azurophilic granules present; markers: CD11b (shared with other myeloid cells), human: CD14, mouse: F4/80-mid,GR1-low; location: Blood, but can be recruited into tissues; role or process: immune & tissue remodelling; lineage: hematopoietic, myeloid.",monocyte(CL_0000576)
Mesenchymal cell,A flattened epithelial cell of mesenchymal origin that lines the serous cavity.,mesothelial cell(CL_0000077)
Megakaryocyte,"A giant cell 50 to 100 micron in diameter, with a greatly lobulated nucleus, found in the bone marrow; mature blood platelets are released from its cytoplasm.|Megakaryocytes are reportedly CD181-positive and CD182-positive.",megakaryocyte(CL_0000556)
Dendritic cell,"A cell of hematopoietic origin, typically resident in particular tissues, specialized in the uptake, processing, and transport of antigens to lymph nodes for the purpose of stimulating an immune response via T cell activation. These cells are lineage negative (CD3-negative, CD19-negative, CD34-negative, and CD56-negative).",dendritic cell(CL_0000451)
CD8 T cell,A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,T cell(CL_0000084)
Cardiomyocyte cell,A cardiac myocyte that is connected to other cardiac myocytes by transverse intercalated discs (GO:0014704) at a regular interval.,regular cardiac myocyte(CL_0002098)
Endocardial cell,,cardiac endothelial cell(CL_0010008)
Lymphocyte,"A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin.|Editors note: consider adding taxon constraint to vertebrata (PMID:18025161)",lymphocyte(CL_0000542)
Erythrocyte,"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen.",erythrocyte(CL_0000232)
Endothelial cell/Pericyte,Not sure which cluster it belongs to,Unclassified cells
Erythroid cell,A immature or mature cell in the lineage leading to and including erythrocytes.|Note that in FMA erythropoietic cells are types of nucleated erythrocytes and thus don't include erythrocytes.,erythroid lineage cell(CL_0000764)
Vascular cell,"An endothelial cell of the vascular tree, which includes blood vessels and lymphatic vessels.|These cells are reportedly CD31-positive, CD34-positive, CD144-positive, TAL1-positive.",endothelial cell of vascular tree(CL_0002139)
Astrocyte,"A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury.|Astrocytes are reportedly CD68-negative, CD121a-positive, CD184-positive, CD192-positive, CRF-positive, EGFR-positive, GFAP-positive, GLUT1-positive, MBP-negative, and NGFR-positive.",astrocyte(CL_0000127)
Ependymal cell,A neurectoderm derived cell that lines the neural lumen.,ependymal cell(CL_0000065)
Excitatory neuron,,excitatory neuron(CL_0008030)
Granule cell,,granule cell(CL_0000120)
Inhibitory neuron,,inhibitory neuron(CL_0008029)
Microglia,"A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive.|Markers: Mouse: CD11b+, F4/80+, CD68+. They represent ~12% of the cells in the CNS, but they are not uniformly distributed within the CNS. A normal adult mouse brain has approximately 3.5x10e6 microglia. Microglia are also reportedly CD3-negative, CD4-positive, CD8-negative, CD11b-positive, CD11c-high, CD14-negative, CD19-negative, CD45-low, CD56-negative, CD163-negative, CD200R-positive, CD281-positive, CD282-positive, CD283-positive, CD284-positive, CD285-positive, CD286-positive, CD287-positive, CD288-positive, CD289-positive, Gr1-negative, nestin-positive, and PU.1-positive.",microglial cell(CL_0000129)
Neural progenitor cell,An undifferentiated cell that originates from a neural stem cell and has the capacity to generate multiple types of lineage-restricted progenitors but not to self-renew.,neural progenitor cell(CL_0011020)
Oligodendrocyte precursor cell,The cell type from which oligodendrocytes develop. This cell originates from multiple structures within the developing brain including the medial ganglion eminence and the lateral ganglionic eminence. These cells migrate throughout the central nervous system and persist into adulthood where they play an important role in remyelination of injured neurons.,oligodendrocyte precursor cell(CL_0002453)
Oligodendrocyte progenitor cell,The cell type from which oligodendrocytes develop. This cell originates from multiple structures within the developing brain including the medial ganglion eminence and the lateral ganglionic eminence. These cells migrate throughout the central nervous system and persist into adulthood where they play an important role in remyelination of injured neurons.,oligodendrocyte precursor cell(CL_0002453)
Oligodendrocyte/Astrocyte,Not sure which cluster it belongs to,Unclassified cells
Oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.|Oligodendrocytes are reportedly MDP-positive and CD4-negative.,oligodendrocyte(CL_0000128)
Progenitor cell,"A precursor cell that has a tendency to differentiate into a specific type of cell. They are descendants of stem cells, only they are more constrained in their differentiation potential or capacity for self-renewal, and are often more limited in both senses.",progenitor cell(CL_0011026)
Purkinje cell,The output neuron of the cerebellar cortex.,Purkinje cell(CL_0000121)
PV inhibitory neuron,,inhibitory neuron(CL_0008029)
VIP inhibitory neuron,,inhibitory neuron(CL_0008029)
Pericyte/Smooth muscle cell,Not sure which cluster it belongs to,Unclassified cells
Fibroblast,"A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.|These cells may be vimentin-positive, fibronectin-positive, fsp1-positive, MMP-1-positive, collagen I-positive, collagen III-positive, and alpha-SMA-negative.",fibroblast(CL_0000057)
T cell/NK cell,A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,mature NK T cell(CL_0000814)
Melanocyte,A melanocyte of the retina. This cell type is distinct from pigmented retinal epithelium.,retinal melanocyte(CL_0002485)
Pigment epithelial cell,An epithelial cell of the retinal pigmented epithelium.,retinal pigment epithelial cell(CL_0002586)
Vascular epithelial cell,"An endothelial cell of the vascular tree, which includes blood vessels and lymphatic vessels.|These cells are reportedly CD31-positive, CD34-positive, CD144-positive, TAL1-positive.",endothelial cell of vascular tree(CL_0002139)
Amacrine cell,"Interneuron of the vertebrate retina. They integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. They lack large axons.|Not clear if this term overlaps with retinal bipolar neuron (CL:0000748).",amacrine cell(CL_0000561)
Bipolar cell,A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner plexiform layer.,retinal bipolar neuron(CL_0000748)
Cone cell,"One of the two photoreceptor cell types in the vertebrate retina. In cones the photopigment is in invaginations of the cell membrane of the outer segment. Cones are less sensitive to light than rods, but they provide vision with higher spatial and temporal acuity, and the combination of signals from cones with different pigments allows color vision.",retinal cone cell(CL_0000573)
Ganglion cell,"The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve.",retinal ganglion cell(CL_0000740)
Horizontal cell,A neuron that laterally connects other neurons in the inner nuclear layer of the retina.,retina horizontal cell(CL_0000745)
Muller cell,"Astrocyte-like radial glial cell that extends vertically throughout the retina, with the nucleus are usually in the middle of the inner nuclear layer.",Muller cell(CL_0011107)
Retinal ganglion cell,"The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve.",retinal ganglion cell(CL_0000740)
Rod cell,"One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision.",retinal rod cell(CL_0000604)
Schwann cell,A glial cell that ensheathes axons of neuron in the peripheral nervous system and are necessary for their maintainance and function.,Schwann cell(CL_0002573)
Neutrophil,"Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes.",neutrophil(CL_0000775)
Motor neuron,An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement.,motor neuron(CL_0000100)
Sympathetic neuron,Sympathetic neurons are part of the sympathetic nervous system and are primarily adrenergic producing the neurotransmitter noradrenalin along with other neuropeptides.,sympathetic neuron(CL_0011103)
Dendritic cell/Macrophage,Not sure which cluster it belongs to,Unclassified cells
Germ cell/Theca cell,Not sure which cluster it belongs to,Unclassified cells
Germ cell,Female germ cell is a germ cell that supports female gamete production.,female germ cell(CL_0000021)
Luminal cell,"The exocrine cell of the prostate, this epithelial cell secretes prostatic acid phosphotase and PSA, and is dependent on androgen hormones for survival.",luminal cell of prostate epithelium(CL_0002340)
Endocrine cell,"A cell of an endocrine gland, ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions.",endocrine cell(CL_0000163)
Keratinocyte,"An epidermal cell which synthesizes keratin and undergoes a characteristic change as it moves upward from the basal layers of the epidermis to the cornified (horny) layer of the skin. Successive stages of differentiation of the keratinocytes forming the epidermal layers are basal cell, spinous or prickle cell, and the granular cell.|Keratinocytes are reportedly CDw210a-negative, CDw210b-positive, CD281-positive, CD282-positive, CD285-positive, IL22Ra1-positive, Human keratinocytes are reportedly capable of secreting BD-2, BD-3, hCAP-18, CXCL1, CXCL5, CXCL8, elafin, MMP-3, NGAL, PDGF-A, S100A7, S100A8, and S100A9. Transcription factors: STAT3-positive.",keratinocyte(CL_0000312)
Mesenchymal stromal cell,Other cell types,Unclassified cells
Monocyte/Neutrophil,Not sure which cluster it belongs to,Unclassified cells
Neutrophil/Eosinophil,Not sure which cluster it belongs to,Unclassified cells
Neutrophil/Basophil,Not sure which cluster it belongs to,Unclassified cells
Acinar cell,A secretory cell that is grouped together with other cells of the same type to form grape shaped clusters known as acini (singular acinus).,acinar cell(CL_0000622)
Sertoli cell,A supporting cell projecting inward from the basement membrane of seminiferous tubules. They surround and nourish the developing male germ cells and secrete androgen binding protein. Their tight junctions with the spermatogonia and spermatocytes provide a blood-testis barrier.,Sertoli cell(CL_0000216)
Tubule cell,,kidney tubule cell(CL_1000507)
Skeletal muscle cell,A somatic cell located in skeletal muscle.,cell of skeletal muscle(CL_0000188)
Stromal cell/Macrophage,Not sure which cluster it belongs to,Unclassified cells
Stromal cell/B cell,Not sure which cluster it belongs to,Unclassified cells
T cell/Mast cell,Not sure which cluster it belongs to,Unclassified cells
T cell/CD8_T cell,A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,T cell(CL_0000084)
Enterocyte,An epithelial cell that has its apical plasma membrane folded into microvilli to provide ample surface for the absorption of nutrients from the intestinal lumen.,enterocyte(CL_0000584)
Enterocyte progenitor,An epithelial cell that has its apical plasma membrane folded into microvilli to provide ample surface for the absorption of nutrients from the intestinal lumen.,enterocyte(CL_0000584)
B cell(Plasmocyte),"A lymphocyte of B lineage with the phenotype CD19-positive, CD20-positive, and capable of B cell mediated immunity.",B cell(CL_0000236)
Myofibroblast,"An animal cell that has characteristics of both a fibroblast cell and a smooth muscle cell.|Myofibroblasts are alpha-SMA-positive, CD34-negative, CD45-negative. They are reportedly capable of secreting IL-1beta, IL-6, and TNF-alpha.",myofibroblast cell(CL_0000186)
Antigen presenting cell,"A cell capable of processing and presenting lipid and protein antigens to T cells in order to initiate an immune response.|Note change of name; nearly all somatic cells can present antigens to T cells via MHC Class I complexes leading to effector responses, but professional antigen presenting cells constitutively express MHC Class II as well as costimulatory molecules, and thus can initiate immune responses via T cells.",professional antigen presenting cell(CL_0000145)
Inflamed epithelial cell,A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.,epithelial cell(CL_0000066)
Enteric glial cell,Neuron that is part of the enteric nervous system.,enteric neuron(CL_0007011)
Mesothelial cell,A flattened epithelial cell of mesenchymal origin that lines the serous cavity.,mesothelial cell(CL_0000077)
Macrophage/Granulocyte,"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.|Morphology: Diameter 30_M-80 _M, abundant cytoplasm, low N/C ratio, eccentric nucleus. Irregular shape with pseudopods, highly adhesive. Contain vacuoles and phagosomes, may contain azurophilic granules; markers: Mouse & Human: CD68, in most cases CD11b. Mouse: in most cases F4/80+; role or process: immune, antigen presentation, & tissue remodelling; lineage: hematopoietic, myeloid.",macrophage(CL_0000235)
Granulocyte,A leukocyte with abundant granules in the cytoplasm.,granulocyte(CL_0000094)
Adipocyte,A fat cell that is part of omentum tissue.,adipocyte of omentum tissue(CL_0002615)
Enterocyte Progenitor,An epithelial cell that has its apical plasma membrane folded into microvilli to provide ample surface for the absorption of nutrients from the intestinal lumen.,enterocyte(CL_0000584)
Paneth cell,"An epithelial cell found in the basal part of the intestinal glands (crypts of Lieberkuhn) including the appendix. Paneth cells synthesize and secrete lysozyme and cryptdins. Numerous in the deeper parts of the intestinal crypts, particularly in the duodenum, rich in zinc, contain large acidophilic granules, with irregular apical microvilli and prominent membrane-bound vacuoles containing matrix.",paneth cell(CL_0000510)
Enteroendocrine cell,An endocrine cell that is located in the epithelium of the gastrointestinal tract or in the pancreas.,enteroendocrine cell(CL_0000164)
Urothelial cell,"A cell of a layer of transitional epithelium in the wall of the bladder, ureter, and renal pelvis, external to the lamina propria.",urothelial cell(CL_0000731)
Umbrella cell,,urethra urothelial cell(CL_1001430)
Superficial cell,,urethra urothelial cell(CL_1001430)
Loop of henle,,kidney loop of Henle epithelial cell(CL_1000909)
Proximal convoluted tubule,,kidney proximal convoluted tubule epithelial cell(CL_1000838)
Distal convoluted tubule,,kidney distal convoluted tubule epithelial cell(CL_1000849)
Proximal convoluted tubule progenitor,,kidney proximal convoluted tubule epithelial cell(CL_1000838)
Collecting duct,,kidney collecting duct cell(CL_1001225)
Ureteric epithelial cell,A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.,epithelial cell(CL_0000066)
Podocyte,An insect immune cell that develops from plasmatocyte.,podocyte (sensu Diptera)(CL_0000391)
Loop of henle progenitor,,kidney loop of Henle epithelial cell(CL_1000909)
Erythroid progenitor cell,A progenitor cell committed to the erythroid lineage.,erythroid progenitor cell(CL_0000038)
Mesangial cell,A cell type that encapsulates the capillaries and venules in the kidney. This cell secretes mesangial matrix that provides the structural support for the capillaries.|Do all of these cells really develop from some mesenchymal stem cell?,mesangial cell(CL_0000650)
Chief cell,"A parathyroid chief cell that is not actively secreting hormone. Contains small Golgi complexes with only a few grouped vesicles and membrane-bound secretory granules; glycogen and many lipofuscin granules abound but sacs of granular endoplasmic reticulum are rare and dispersed. In normal humans, inactive chief cells out number active chief cells in a ratio of 3-5:1.",inactive chief cell of parathyoid gland(CL_0002197)
Parietal cell,"A large, oval stomach epithelial cell with a central nucleus; source of gastric acid. Secretes HCl.",parietal cell(CL_0000162)
D cell/X/A cell,A type D cell found in the stomach.,type D cell of stomach(CL_0002267)
Chromaffin cell,"A cell that stores epinephrine secretory vesicles. During times of stress, the nervous system signals the vesicles to secrete their hormonal content. Their name derives from their ability to stain a brownish color with chromic salts. Characteristically, they are located in the adrenal medulla and paraganglia of the sympathetic nervous system.",chromaffin cell(CL_0000166)
Inflammatory cell,"Any cell participating in the inflammatory response to a foreign substance, e.g. neutrophil, macrophage.",inflammatory cell(CL_0009002)
Muscle cell,"A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns.",muscle cell(CL_0000187)
Muscle progenitor cell,"A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns.",muscle cell(CL_0000187)
Fast skeletal muscle cell,A somatic cell located in skeletal muscle.,cell of skeletal muscle(CL_0000188)
Tendon cell,An elongated fibrocyte that is part of a tendon. The cytoplasm is stretched between the collagen fibres of the tendon. They have a central cell nucleus with a prominent nucleolus. Tendon cells have a well-developed rough endoplasmic reticulum and they are responsible for synthesis and turnover of tendon fibres and ground substance.,tendon cell(CL_0000388)
Osteoclast,"A specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue, which typically differentiates from monocytes. This cell has the following markers: tartrate-resistant acid phosphatase type 5-positive, PU.1-positive, c-fos-positive, nuclear factor NF-kappa-B p100 subunit-positive, tumor necrosis factor receptor superfamily member 11A-positive and macrophage colony-stimulating factor 1 receptor-positive.|Morphology: Highly vesicular; markers: Surface: RANK, cFMS (MCSF receptor); Secreted: cathepsin K and TRAP (tartate resistant acid phosphatase); transcription factors: PU.1, cFOS, MITF, NFkB (p52); role or process: tissue remodelling: bone resorption; lineage: hematopoietic, myeloid.",osteoclast(CL_0000092)
Hemopoietic stem cell,"A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119.|Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",hematopoietic stem cell(CL_0000037)
Plasma B cell,"A lymphocyte of B lineage with the phenotype CD19-positive, CD20-positive, and capable of B cell mediated immunity.",B cell(CL_0000236)
Conventional dendritic cell,"Conventional dendritic cell is a dendritic cell that is CD11c-high.|Originally described in the dendritic cell ontology (DC_CL:0000003)(PMID:19243617) These cells are also CD20-negative, MHCII-positive.",conventional dendritic cell(CL_0000990)
Common myeloid progenitor,"A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages.|This cell type is intended to be compatible with any vertebrate common myeloid progenitor.  For mammalian CMP known to be CD34-positive, please use the term 'common myeloid progenitor, CD34-positive' (CL_0001059).",common myeloid progenitor(CL_0000049)
